id,communique,libelle_poste,libelle_emploi_rome,code_emploi_rome,numero,date_mis_en_ligne,libelle_collectivite,libelle_corps_grade,libelle_corps_grade_2,libelle_domaine,libelle_domaine_2,duree_residence_exigee,date_a_pourvoir,date_a_pourvoir_libelle,direction_libelle,direction_acronyme,service_libelle,lieu_travail,date_creation,date_cloture,presentation,emploi_resp,mission,activites_principales,activites_secondaires,conditions_particulieres,savoir,savoir_faire,comportements,commentaire_republication,contact,contact_telephone,contact_email,contact_secondaire,contact_secondaire_telephone,contact_secondaire_email,collectivite_nom_rh,collectivite_adresse_depot,collectivite_adresse_postale,collectivite_email,collectivitefax,statut,nb_postes_a_pourvoir,a_pourvoir_autre,url_pdf
63350,0,Educateur spécialisé ou moniteur éducateur,,,26-0562,2026-04-09,Province Sud,moniteur socio-éducatif,,,,,2026-08-01 00:00:00+11:00,date,,,,,2026-04-10 09:28:54+11:00,2026-05-28,,,,,,,,,,,,,,,,,,,,,,PUBLIE,4,,https://data.gouv.nc/explore/dataset/avis-de-vacances-de-poste-avp-drhfpnc/files/89d3633c6b50e4e0edf5c02530d9cbea/download/
63392,0,Secrétaire général,Secrétaire général de mairie,K1404-6,26-0565,2026-04-16,,emploi fonctionnel,,,,,,immédiatement,,,,KOUMAC,2026-04-15 07:51:09+11:00,2026-05-28,,,,,,,,,,,,,,,,,,,,,,PUBLIE,0,,https://data.gouv.nc/explore/dataset/avis-de-vacances-de-poste-avp-drhfpnc/files/7948adf33bcef6b21afdae682243f9e7/download/
63800,0,Masseur-Kinésithérapeute,,,26-0709,2026-05-07,Centre hospitalier du Nord,masseur kinésithérapeute,,Rééducation,,,,immédiatement,Centre hospitalier du Nord,CHN,,,2026-05-06 14:38:41+11:00,2026-05-28,,,,,,,,,,,,,,,,,,,,,,PUBLIE,0,,https://data.gouv.nc/explore/dataset/avis-de-vacances-de-poste-avp-drhfpnc/files/8d7b89f1dadd86a4f6a983d5319178d1/download/
63533,0,Responsable du bureau administratif et financier,,,26-0609,2026-04-23,Province Nord,attaché,,,,,,immédiatement,Province Nord,PVN,,KONE,2026-04-22 11:19:16+11:00,2026-05-28,,,,,,,,,,La date de clôture initialement prévue le 15/05/2026 a été reportée.,,,,,,,,,,,,PUBLIE,0,,https://data.gouv.nc/explore/dataset/avis-de-vacances-de-poste-avp-drhfpnc/files/e9c8e77ec00a8845d8462cc5c912c9f8/download/
63758,0,3 Contrôleurs aériens d'approche (ICNA),,,26-0696,2026-05-07,Direction de l'aviation civile,ingénieur des études et de l'exploitation,,,,,,immédiatement,Direction de l'aviation civile,DAC,,,2026-05-06 10:56:56+11:00,2026-05-28,,Inspecteur,,,,,,,,,,,,,,,la direction de l'aviation civile,179 rue Roger GERVOLINO - Magenta,B.P.  H1 98849 Nouméa cedex,dac-nc-sa-bpers@aviation-civile.gouv.fr,,PUBLIE,0,,https://data.gouv.nc/explore/dataset/avis-de-vacances-de-poste-avp-drhfpnc/files/f8f1f2343f319203ae7518759711ca01/download/
63757,0,Ingénieur maintenance,,,26-0695,2026-05-07,Direction de l'aviation civile,ingénieur des études et de l'exploitation,,,,,,immédiatement,Direction de l'aviation civile,DAC,,,2026-05-06 10:54:18+11:00,2026-05-28,,Inspecteur,,,,,,,,,,,,,,,la direction de l'aviation civile,179 rue Roger GERVOLINO - Magenta,B.P.  H1 98849 Nouméa cedex,dac-nc-sa-bpers@aviation-civile.gouv.fr,,PUBLIE,0,,https://data.gouv.nc/explore/dataset/avis-de-vacances-de-poste-avp-drhfpnc/files/71e4fca6eba64e85afcbf4156b36886d/download/
63661,0,Directeur(rice) adjoint(e),,,26-0655,2026-04-30,Institut de la statistique et des études économiques,emploi fonctionnel,,,,,2026-08-01 00:00:00+11:00,date,Institut de la statistique et des études économiques,ISEE,,,2026-04-30 08:50:58+11:00,2026-05-21,,Inspecteur,,,,,,,,,,,,,,,,,,,,PUBLIE,4,,https://data.gouv.nc/explore/dataset/avis-de-vacances-de-poste-avp-drhfpnc/files/c76761ee85882ce9d8df1e9b7bbcc3cd/download/
63693,0,Technicien hydrographe - adjoint logistique,,,26-0653,2026-05-03,Nouvelle-Calédonie,technicien,,Economie rurale,,,,immédiatement,Nouvelle-Calédonie,NC,,,2026-05-04 07:59:22+11:00,2026-05-21,,Inspecteur,,,,,,,,,,,,,,,la direction des ressources humaines et de la fonction publique de Nouvelle Calédonie,Bureaux 106 et 107 - Section recrutement - DRHFPNC - Centre administratif Jacques Iékawé - 1er étage - 18 avenue Paul Doumer - Centre-ville de Nouméa,B.P M2 - 98849 Nouméa cedex,drhfpnc.recrutement@gouv.nc,,PUBLIE,0,,https://data.gouv.nc/explore/dataset/avis-de-vacances-de-poste-avp-drhfpnc/files/ba8abb8b11aed3706f599bea4ac908e5/download/
63734,0,Administrateur des pratiques métiers - section applications et pratiques métiers,,,26-0690,2026-05-07,Office des postes et télécommunications,cadre d'exploitation,contrôleur,,,,,susceptible d'être vacant,Office des postes et télécommunications,OPT,,,2026-05-05 10:08:54+11:00,2026-05-28,,Inspecteur,,,,,,,,,,,,,,,,,,,,PUBLIE,1,,https://data.gouv.nc/explore/dataset/avis-de-vacances-de-poste-avp-drhfpnc/files/60e51e47713579732ce575c556125c7d/download/
63927,0,Assistant commercial Pro et Revendeurs - Agence entreprises,,,26-0641,2026-05-14,Office des postes et télécommunications,contrôleur,agent d'exploitation,,,,,susceptible d'être vacant,Office des postes et télécommunications,OPT,,,2026-05-13 12:54:20+11:00,2026-06-04,,Inspecteur,,,,,,,,,,,,,,,,,,,,PUBLIE,1,,https://data.gouv.nc/explore/dataset/avis-de-vacances-de-poste-avp-drhfpnc/files/ea72fc6a73c10516a38fb4283f05a728/download/
63718,0,Chef(fe) de section expérience commerciale - Service expérience client,,,26-0674,2026-05-07,Office des postes et télécommunications,cadre d'exploitation,,,,,,immédiatement,Office des postes et télécommunications,OPT,,,2026-05-05 09:37:31+11:00,2026-05-28,,Inspecteur,,,,,,,,,,,,,,,,,,,,PUBLIE,0,,https://data.gouv.nc/explore/dataset/avis-de-vacances-de-poste-avp-drhfpnc/files/72dc9702fec70e5de6ae91def4b6ca7d/download/
63719,0,Directeur(trice) adjoint(e) relations clients - pôle opérationnel,,,26-0675,2026-05-07,Office des postes et télécommunications,emploi fonctionnel,,,,,,immédiatement,Office des postes et télécommunications,OPT,,,2026-05-05 09:39:06+11:00,2026-05-28,,Inspecteur,,,,,,,,,,,,,,,,,,,,PUBLIE,0,,https://data.gouv.nc/explore/dataset/avis-de-vacances-de-poste-avp-drhfpnc/files/ea8867dc80a7731127d238eb603c6e81/download/
63721,0,Chef(fe) de service expérience client - service expérience client,,,26-0677,2026-05-07,Office des postes et télécommunications,cadre d'exploitation,,,,,,immédiatement,Office des postes et télécommunications,OPT,,,2026-05-05 09:41:44+11:00,2026-05-28,,Inspecteur,,,,,,,,,,,,,,,,,,,,PUBLIE,0,,https://data.gouv.nc/explore/dataset/avis-de-vacances-de-poste-avp-drhfpnc/files/b7d87ca4a8ed288bb9da1d14d9e31900/download/
63765,0,Consultant fonctionnel - SMQP,,,26-0703,2026-05-07,Office des postes et télécommunications,cadre technique,,,,,,immédiatement,Office des postes et télécommunications,OPT,,,2026-05-06 11:13:02+11:00,2026-05-28,,Inspecteur,,,,,,,,,,,,,,,,,,,,PUBLIE,0,,https://data.gouv.nc/explore/dataset/avis-de-vacances-de-poste-avp-drhfpnc/files/663c6ac3707193bffcfc786c3bd1dd1b/download/
63723,0,Assistant(e) Ressources Humaines études et projets -Section appui stratégique,,,26-0679,2026-05-07,Office des postes et télécommunications,contrôleur,,,,,,susceptible d'être vacant,Office des postes et télécommunications,OPT,,,2026-05-05 09:45:32+11:00,2026-05-28,,Inspecteur,,,,,,,,,,,,,,,,,,,,PUBLIE,1,,https://data.gouv.nc/explore/dataset/avis-de-vacances-de-poste-avp-drhfpnc/files/1a28affa4ab4cce7e61bc586b48be681/download/
63731,0,Chef(fe) de service support métiers,,,26-0687,2026-05-07,Office des postes et télécommunications,cadre d'exploitation,,,,,,susceptible d'être vacant,Office des postes et télécommunications,OPT,,,2026-05-05 10:03:55+11:00,2026-05-28,,Inspecteur,,,,,,,,,,,,,,,,,,,,PUBLIE,1,,https://data.gouv.nc/explore/dataset/avis-de-vacances-de-poste-avp-drhfpnc/files/ae05306e02d1e2fc0aa99f1807ffb447/download/
63722,0,Directeur(trice),,,26-0678,2026-05-07,Office des postes et télécommunications,emploi fonctionnel,,,,,,susceptible d'être vacant,Office des postes et télécommunications,OPT,,,2026-05-05 09:43:22+11:00,2026-05-28,,Inspecteur,,,,,,,,,,,,,,,,,,,,PUBLIE,1,,https://data.gouv.nc/explore/dataset/avis-de-vacances-de-poste-avp-drhfpnc/files/84717a3117f23e088a30bf7045f280e8/download/
63602,0,Agent comptable en dépenses et en recettes,,,26-0628,2026-04-30,Centre hospitalier du Nord,adjoint administratif,,,,,,immédiatement,Centre hospitalier du Nord,CHN,,,2026-04-29 08:55:14+11:00,2026-05-21,,Inspecteur,,,,,,,,,,,,,,,,,,,,PUBLIE,0,,https://data.gouv.nc/explore/dataset/avis-de-vacances-de-poste-avp-drhfpnc/files/edc1b1bba1ddda874a2642d6759e7297/download/
63604,0,Assistante médicaux-administratif,,,26-0630,2026-04-30,Centre hospitalier du Nord,rédacteur d'administration générale,,,,,,immédiatement,Centre hospitalier du Nord,CHN,,,2026-04-29 09:04:31+11:00,2026-05-21,,Inspecteur,,,,,,,,,,,,,,,,,,,,PUBLIE,0,,https://data.gouv.nc/explore/dataset/avis-de-vacances-de-poste-avp-drhfpnc/files/b31325417a47fe6b6b73948944c93814/download/
63603,0,Assistante Médico-Administratif,,,26-0629,2026-04-30,Centre hospitalier du Nord,rédacteur d'administration générale,,,,,,immédiatement,Centre hospitalier du Nord,CHN,,,2026-04-29 08:58:11+11:00,2026-05-21,,Inspecteur,,,,,,,,,,,,,,,,,,,,PUBLIE,0,,https://data.gouv.nc/explore/dataset/avis-de-vacances-de-poste-avp-drhfpnc/files/d9dd74a641d924207a70b4c8cf98e235/download/
63986,0,Inrfirmer(e) en soins généraux - salle de soins post interventionnel,,,26-0761,2026-05-14,"Centre hospitalier territorial ""Gaston Bourret""",infirmier en soins généraux,,Infirmiers,,,,immédiatement,"Centre hospitalier territorial ""Gaston Bourret""",CHT,,,2026-05-13 15:05:11+11:00,2026-06-04,,Inspecteur,,,,,,,,,,,,,,,Direction des Ressources Humaines / Cellule recrutement,Direction des Ressources Humaines - Cellule recrutement - Médipôle Koutio,BP J5-98849 - Nouméa cedex,kelly.miloud@cht.nc,,PUBLIE,0,,https://data.gouv.nc/explore/dataset/avis-de-vacances-de-poste-avp-drhfpnc/files/957d94934616b9d148368d52137307a8/download/
63857,0,Inrfimier(e) en cardiologie,,,26-0730,2026-05-07,"Centre hospitalier territorial ""Gaston Bourret""",infirmier en soins généraux,,Infirmiers,,,2026-08-01 00:00:00+11:00,date,"Centre hospitalier territorial ""Gaston Bourret""",CHT,,,2026-05-07 08:31:37+11:00,2026-05-28,,Inspecteur,,,,,,,,,,,,,,,Direction des Ressources Humaines / Cellule recrutement,Direction des Ressources Humaines - Cellule recrutement - Médipôle Koutio,BP J5-98849 - Nouméa cedex,kelly.miloud@cht.nc,,PUBLIE,4,,https://data.gouv.nc/explore/dataset/avis-de-vacances-de-poste-avp-drhfpnc/files/628e93c0dd6fd8f59fbab1a8f6ac2dbf/download/
63862,0,6 Masseurs kinésithérapeutes,,,26-0735,2026-05-07,"Centre hospitalier territorial ""Gaston Bourret""",masseur kinésithérapeute,,Rééducation,,,2026-09-01 00:00:00+11:00,date,"Centre hospitalier territorial ""Gaston Bourret""",CHT,,,2026-05-07 08:41:19+11:00,2026-05-28,,Inspecteur,,,,,,,,,,,,,,,Direction des Ressources Humaines / Cellule recrutement,Direction des Ressources Humaines - Cellule recrutement - Médipôle Koutio,BP J5-98849 - Nouméa cedex,kelly.miloud@cht.nc,,PUBLIE,4,,https://data.gouv.nc/explore/dataset/avis-de-vacances-de-poste-avp-drhfpnc/files/4f7b46ef6d31c152c6880323393ef148/download/
63836,0,Responsable produit Télécoms - SMC,,,26-0715,2026-05-07,Office des postes et télécommunications,cadre d'exploitation,,,,,,susceptible d'être vacant,Office des postes et télécommunications,OPT,,,2026-05-07 07:35:49+11:00,2026-05-28,,Inspecteur,,,,,,,,,,,,,,,,,,,,PUBLIE,1,,https://data.gouv.nc/explore/dataset/avis-de-vacances-de-poste-avp-drhfpnc/files/3fbd9fa9f786ac8d4a8b9d9676fba362/download/
63855,0,Médecin (Nouméa),,,26-0728,2026-05-07,Province Nord,médecin de santé publique,,,,,,immédiatement,Province Nord,PVN,,,2026-05-07 08:29:19+11:00,2026-05-28,,Inspecteur,,,,,,,,,,,,,,,,,,,,PUBLIE,0,,https://data.gouv.nc/explore/dataset/avis-de-vacances-de-poste-avp-drhfpnc/files/6c880462b43e6a475461cfece6991e79/download/
63669,0,Chef du service accompagnement des victimes de violences intrafamiliales,,,26-0658,2026-04-30,Province Nord,cadre socio-éducatif,,,,,,immédiatement,Province Nord,PVN,,,2026-04-30 13:30:09+11:00,2026-05-21,,Inspecteur,,,,,,,,,,,,,,,,,,,,PUBLIE,0,,https://data.gouv.nc/explore/dataset/avis-de-vacances-de-poste-avp-drhfpnc/files/18e3514b50279858981f133ae7285af0/download/
63018,0,1 INFIRMIER EN SOINS GENERAUX (Hienghène),,,26-0440,2026-03-26,Province Nord,infirmier en soins généraux,,Infirmiers,,,,immédiatement,Province Nord,PVN,,,2026-03-25 10:53:45+11:00,2026-06-04,,Inspecteur,,,,,,,,La date de clôture initialement prévue le 15/05/2026 a été reportée.,,,,,,,,,,,,PUBLIE,0,,https://data.gouv.nc/explore/dataset/avis-de-vacances-de-poste-avp-drhfpnc/files/38f787aacbf841cc06d1f9c34817288f/download/
62878,0,Assistant(e) social(e) de secteur (Poya-Pouembout),,,26-0409,2026-03-19,Province Nord,assistant socio-éducatif,,,,,,immédiatement,Province Nord,PVN,,,2026-03-18 14:29:28+11:00,2026-05-28,,Inspecteur,,,,,,,,,,,,,,,,,,,,PUBLIE,0,,https://data.gouv.nc/explore/dataset/avis-de-vacances-de-poste-avp-drhfpnc/files/1929f2c88e3c729f1f1a5c4e89148574/download/
62877,0,Assistant(e) social(e) de secteur (Houailou),,,26-0408,2026-03-19,Province Nord,assistant socio-éducatif,,,,,,immédiatement,Province Nord,PVN,,,2026-03-18 14:26:36+11:00,2026-05-28,,Inspecteur,,,,,,,,,,,,,,,,,,,,PUBLIE,0,,https://data.gouv.nc/explore/dataset/avis-de-vacances-de-poste-avp-drhfpnc/files/b746bd24c36c87d857c2d16d90b2bebb/download/
63658,0,Chirurgien-dentiste (Voh-Poya),,,26-0659,2026-04-30,Province Nord,chirurgien dentiste,,,,,,immédiatement,Province Nord,PVN,,,2026-04-30 08:44:20+11:00,2026-05-21,,Inspecteur,,,,,,,,,,,,,,,,,,,,PUBLIE,0,,https://data.gouv.nc/explore/dataset/avis-de-vacances-de-poste-avp-drhfpnc/files/9b2d80b8d6539c3c4414c699af4718f2/download/
62814,0,INFIRMIER EN SOINS GENERAUX  - Touho,,,26-0381,2026-03-12,Province Nord,infirmier en soins généraux,,Infirmiers,,,,immédiatement,Province Nord,PVN,,,2026-03-12 12:11:57+11:00,2026-05-28,,Inspecteur,,,,,,,,,,,,,,,,,,,,PUBLIE,0,,https://data.gouv.nc/explore/dataset/avis-de-vacances-de-poste-avp-drhfpnc/files/886bc63aa8791e50caf8533044c595df/download/
62876,0,Chargé d'études Hors bilan,,,26-0407,2026-03-19,Province Nord,attaché,,,,,,immédiatement,Province Nord,PVN,,,2026-03-18 14:24:43+11:00,2026-05-28,,Inspecteur,,,,,,,,,,,,,,,,,,,,PUBLIE,0,,https://data.gouv.nc/explore/dataset/avis-de-vacances-de-poste-avp-drhfpnc/files/536e91c7976a2c315e422a105450bfff/download/
62371,0,MEDECIN,,,26-0244,2026-02-12,Province Nord,médecin de santé publique,,,,,,immédiatement,Province Nord,PVN,,,2026-02-11 13:26:50+11:00,2026-05-28,,Inspecteur,,,,,,,,,,,,,,,,,,,,PUBLIE,0,,https://data.gouv.nc/explore/dataset/avis-de-vacances-de-poste-avp-drhfpnc/files/9c5fb3145ec378300694a947c282aff3/download/
62375,0,ORTHOPHONISTE,,,26-0246,2026-02-12,Province Nord,orthophoniste,,Rééducation,,,,immédiatement,Province Nord,PVN,,,2026-02-11 13:33:08+11:00,2026-05-28,,Inspecteur,,,,,,,,,,,,,,,,,,,,PUBLIE,0,,https://data.gouv.nc/explore/dataset/avis-de-vacances-de-poste-avp-drhfpnc/files/e45c3aea0e68391f9c5884deca9278ff/download/
63755,0,Animateur(trice)- coordinateur(trice),,,26-0693,2026-05-07,Province Sud,attaché,,,,,,susceptible d'être vacant,Province Sud,PVS,,,2026-05-06 10:49:47+11:00,2026-05-28,,Inspecteur,,,,,,,,,,,,,,,,,,,,PUBLIE,1,,https://data.gouv.nc/explore/dataset/avis-de-vacances-de-poste-avp-drhfpnc/files/c4cf441b91a5ab2b687cb71865d296c8/download/
63802,0,Chargé d'opérations de construction,,,26-0711,2026-05-07,Province Sud,ingénieur,,Equipement,,,,susceptible d'être vacant,Province Sud,PVS,,,2026-05-06 14:42:56+11:00,2026-05-28,,Inspecteur,,,,,,,,,,,,,,,,,,,,PUBLIE,1,,https://data.gouv.nc/explore/dataset/avis-de-vacances-de-poste-avp-drhfpnc/files/19e9c37dec5083f175c7bf55f3fa77cb/download/
63640,0,Travailleur Social au sein de la maison de l'enfance de Bourai,,,26-0648,2026-04-30,Province Sud,assistant socio-éducatif,,,,,,immédiatement,Province Sud,PVS,,,2026-04-30 08:03:54+11:00,2026-05-21,,Inspecteur,,,,,,,,,,,,,,,,,,,,PUBLIE,0,,https://data.gouv.nc/explore/dataset/avis-de-vacances-de-poste-avp-drhfpnc/files/a8eb2b9f3cfdf89cef104561ac91d02c/download/
