id,communique,libelle_poste,libelle_emploi_rome,code_emploi_rome,numero,date_mis_en_ligne,libelle_collectivite,libelle_corps_grade,libelle_corps_grade_2,libelle_domaine,libelle_domaine_2,duree_residence_exigee,date_a_pourvoir,date_a_pourvoir_libelle,direction_libelle,direction_acronyme,service_libelle,lieu_travail,date_creation,date_cloture,presentation,emploi_resp,mission,activites_principales,activites_secondaires,conditions_particulieres,savoir,savoir_faire,comportements,commentaire_republication,contact,contact_telephone,contact_email,contact_secondaire,contact_secondaire_telephone,contact_secondaire_email,collectivite_nom_rh,collectivite_adresse_depot,collectivite_adresse_postale,collectivite_email,collectivitefax,statut,nb_postes_a_pourvoir,a_pourvoir_autre,url_pdf
65932,0,Chargée d'études juridiques,Directeur ou expert juridique,K1903-2,26-65932/MPRH,2026-09-23,"Conseil économique, social et environnemental",attaché,,,,au moins égale à 10 ans,,immédiatement,"Conseil économique, social et environnemental",CESE,"Conseil économique, social et de l'environnement",Nouvelle-Calédonie,2026-09-11 19:43:34+11:00,2026-10-09,"4ème institution de la Nouvelle-Calédonie, le Conseil économique, social et environnemental (CESE-NC) a pour mission principale de rendre des avis/voeux et de formuler des propositions aux décideurs politiques sur les sujets économiques, sociaux , culturels et environnementaux. En tant qu'institution consultative il fait partie du processus législatif pour ce qui relève de son domaine de compétence. C'est une force de proposition sur des sujets d'intérêt général. Il participe ainsi à l'élaboration des stratégies du développement de la Nouvelle-Calédonie et de l'évaluation des politiques publiques (EPP). Il représente la société civile organisée, véritable lieu d'échange et du vivre ensemble, dans le respect des diversités faisant partie intégrante du paysage calédonien. Dans le cadre des missions du CESE-NC, le bureau des études (BdE) est le cœur de métier de l'institution,  il détient un rôle prépondérant dans la réalisation de ces travaux.",Chargé d'études juridiques,"- Commander ou conduire des études dans différents champs d'intervention pour aider à la définition des politiques publiques et des orientations juridiques et stratégiques du CESE-NC (saisines, autosaisines, contributions, pétitions citoyennes, évaluation de politiques publiques)- Collecter et organiser le traitement d'informations pour développer des fonctions d'observation et d'anticipation.","- Maitriser l'expertise juridique et de conseil en matière d'élaboration des textes législatifs et réglementaires,
- Piloter des projets d'évaluation des politiques publiques
- Rédiger les avis, vœux, contributions et synthèses du CESE NC ( saisines du gouvernement, du congrès, des provinces et du sénat coutumier);
- Organiser, conseiller et animer les réunions en lien avec les dossiers à traiter,
- Se déplacer régulièrement (quasi quotidiennement) pour des réunions extérieures dans le cadre des travaux relatifs aux saisines & autosaisines , rencontres avec des partenaires et  invités experts notamment avec l'UNC, l'IRD, les chambres consulaires et également l'ensemble des collectivités de la Nouvelle-Calédonie,
-  Rechercher, collecter et traiter l'information,
- Commander, réaliser et piloter des études (autosaisines),
- Restituer, diffuser et promouvoir les résultats d'études,",,,"- Master 2 en droit exigé pour le recrutement sur titre s'agissant d'un métier identifié comme étant pénurique,
- Environnement administratif, institutionnel de la NC,
- Droit/réglementation administrative,
- EPP
- qualités rédactionnelles et expression orale élevées,
- outils informatiques et applications,","- gérer une réunion,
- rédiger, synthétiser un ensemble d'informations,
- analyser une situation dans un contexte donné,
- maîtriser les procédures administratives de l'institution,
- Tenir les délais procéduraux.","- Capacité d'adaptation,
- Sens des relations humaines,
- Sens de l'organisation,
- Gestion du temps
- Gestion du stress
- Aisance relationnelle
- Sens de la communication
- Sens de l'écoute
- Curiosité intellectuelle
- Résolution de problèmes
- Esprit d'équipe",,Laetitia FRANCOIS,27 06 86,laetitia.francois@cese.nc,Judith MUSSARD,27 06 85,judith.mussard@cese.nc,la direction des ressources humaines et de la fonction publique de Nouvelle Calédonie,Bureaux 106 et 107 - Section recrutement - DRHFPNC - Centre administratif Jacques Iékawé - 1er étage - 18 avenue Paul Doumer - Centre-ville de Nouméa,B.P M2 - 98849 Nouméa cedex,drhfpnc.recrutement@gouv.nc,,PUBLIE,0,,https://data.gouv.nc/explore/dataset/avis-de-vacances-de-poste-avp-drhfpnc/files/cb42a620320830e456d6439421503394/download/
65812,0,Responsable du bureau de la performance du système de protection sociale,"Responsable administratif, administratif de gestion, administratif et financier",M1205-1,26-65812/MPRH,2026-09-18,Nouvelle-Calédonie,attaché,,,,,2027-01-04 11:00:00+11:00,vacant à partir du,Direction des affaires sanitaires et sociales,DASS,Service de la protection sociale,NOUMEA,2026-09-04 20:57:57+11:00,2026-10-09,"La direction des affaires sanitaires et sociales de la Nouvelle-Calédonie est une direction technique essentielle du gouvernement. Elle est chargée de concevoir, de planifier et de mettre en œuvre la politique publique de la Nouvelle-Calédonie dans les domaines fondamentaux de la santé publique et de la protection sociale. 
Pour accomplir ses missions, la DASS s'appuie sur :
- Un service « administration et support » (ressources humaines, budget, moyens généraux) ;
- Quatre services « métiers » spécialisés, dont le Service de la Protection Sociale (SPS).

Le service de la protection sociale assure un rôle stratégique et opérationnel de premier plan. Il est chargé de :
- Concevoir et mettre en œuvre les politiques de protection sociale du territoire ;
- Veiller à la performance globale et à la viabilité financière du système de protection sociale ;
- Organiser, réguler et contrôler l'offre de soins ainsi que l'offre sociale et médico-sociale ;
- Assurer le secrétariat d'instances clés, notamment le Conseil du Handicap et de la Dépendance (CHD) et la Commission Médicale des Permis de Conduire (CMPC).",Responsable administratif,"Placé(e) sous l'autorité directe du chef du service de la protection sociale, l'agent a pour missions principales d'organiser, de gérer, d'animer et de piloter le bureau.
Le poste s'inscrit dans un contexte de réforme structurelle majeure du modèle calédonien de protection sociale. En tant que responsable, vous piloterez des travaux d'analyse et de modélisation stratégique qui nourriront directement les orientations politiques du gouvernement. Votre objectif principal sera d'éclairer les décisions publiques afin d'encadrer, d'optimiser et de maîtriser l'évolution des dépenses des différents régimes sociaux, dans une constante perspective d'efficience et de pérennité du système.","En tant que responsable de bureau, vous aurez pour missions d'organiser, de gérer, d'animer et de piloter l'activité globale de votre équipe. Vos activités opérationnelles s'articuleront autour de cinq axes majeurs :

1- Pilotage des relations financières inter-institutionnelles
Assurer le suivi et la coordination des relations financières entre la Nouvelle-Calédonie, l'Agence Sanitaire et Sociale (ASS), les organismes de protection sociale (notamment la CAFAT) et les établissements de santé, médico-sociaux,

2- Suivi de la trésorerie et pilotage budgétaire
Assurer le suivi rigoureux de la trésorerie et la trajectoire financière des comptes sociaux du territoire,

3- Tutelle administrative, financière et technique
Exercer la tutelle et le contrôle des organismes de protection sociale et assurer la tutelle financière des établissements hospitaliers du territoire,

4- Régulation et politique tarifaire
Participer à la définition et à l'application de la politique tarifaire des établissements sanitaires et sociaux, ainsi qu'à celle encadrant les professionnels de santé et les fournisseurs de biens, de prestations et de matériels médicaux,

5- Animation et représentation institutionnelle
Préparer et participer activement aux différentes instances de gouvernance et commissions techniques relevant des compétences du bureau.",,,"- Formation supérieure en comptabilité, finances publiques, contrôle de gestion ou gestion de la protection sociale ;
- Expérience professionnelle dans le secteur de la protection sociale et/ou de la gestion hospitalière/sanitaire/médico-sociale ;
- Très bonne connaissance des institutions de la Nouvelle-Calédonie et de son organisation administrative ;
- Excellente compréhension de l'organisation et du fonctionnement des structures de santé et de protection sociale ;
- Maîtrise approfondie de la réglementation budgétaire, comptable et financière publique et sociale ;
- Connaissance des partenaires institutionnels (CAFAT, mutuelles, complémentaires) et fine appréhension des enjeux socio-économiques du territoire.","- Analyse et aide à la décision ;
- Pilotage de la performance ;
- Gestion de projet ;
- Compétences rédactionnelles ;
- Management et animation.","- Rigueur et objectivité ;
- Aisance relationnelle ;
- Esprit d'équipe et transversalité ;
- Disponibilité et réactivité.",,MESTRE Marie-Laure,24 37 00,direction.dass@gouv.nc,FRAYSSINET Vanessa,,rh.dass@gouv.nc,la direction des ressources humaines et de la fonction publique de Nouvelle Calédonie,Bureaux 106 et 107 - Section recrutement - DRHFPNC - Centre administratif Jacques Iékawé - 1er étage - 18 avenue Paul Doumer - Centre-ville de Nouméa,B.P M2 - 98849 Nouméa cedex,drhfpnc.recrutement@gouv.nc,,PUBLIE,3,,https://data.gouv.nc/explore/dataset/avis-de-vacances-de-poste-avp-drhfpnc/files/3aff9dfced45f8d02b7d53a6dbddca7f/download/
66013,0,DSI - Responsable qualité du SI - Service des Moyens,,,26-1386,2026-09-18,Office des postes et télécommunications,cadre d'exploitation,,,,,,autre,Office des postes et télécommunications,OPT,,,2026-09-16 21:50:20+11:00,2026-10-09,,Inspecteur,,,,,,,,,,,,,,,,,,,,PUBLIE,5,vacant,https://data.gouv.nc/explore/dataset/avis-de-vacances-de-poste-avp-drhfpnc/files/215efe1ad15a560c85ac67e20229e60e/download/
66014,0,DPS - Chargé(e) de contact clientèle - Agence de Nouméa Sud,,,26-1387,2026-09-18,Office des postes et télécommunications,agent d'exploitation,,,,,,susceptible d'être vacant,Office des postes et télécommunications,OPT,,,2026-09-16 21:52:14+11:00,2026-10-09,,Inspecteur,,,,,,,,,,,,,,,,,,,,PUBLIE,1,,https://data.gouv.nc/explore/dataset/avis-de-vacances-de-poste-avp-drhfpnc/files/5f78a99dff10e0bab432ff312b956ce0/download/
66015,0,DSI - Administrateur d'applications SI Télécom - Service Développement et Maintenance,,,26-1388,2026-09-18,Office des postes et télécommunications,ingénieur,,Informatique,,.,,autre,Office des postes et télécommunications,OPT,,,2026-09-16 21:53:45+11:00,2026-10-09,,Inspecteur,,,,,,,,,,,,,,,,,,,,PUBLIE,5,dès que possible,https://data.gouv.nc/explore/dataset/avis-de-vacances-de-poste-avp-drhfpnc/files/32a27f502311cacdfb425a54ee1e5834/download/
66020,0,DPS - AGENT POLYVALENT D'EXPLOITATION CELLULE DÉPART - CTP,,,26-1391,2026-09-18,Office des postes et télécommunications,agent d'exploitation,,,,,,susceptible d'être vacant,Office des postes et télécommunications,OPT,,,2026-09-16 22:02:24+11:00,2026-10-09,,Inspecteur,,,,,,,,,,,,,,,,,,,,PUBLIE,1,,https://data.gouv.nc/explore/dataset/avis-de-vacances-de-poste-avp-drhfpnc/files/8d49ecf499007a03c15e4a4c109c8a80/download/
66043,0,DT - Superviseur - CSNO,,,26-1402,2026-09-18,Office des postes et télécommunications,technicien,,,,,,autre,Office des postes et télécommunications,OPT,,,2026-09-16 23:52:12+11:00,2026-10-09,,Inspecteur,,,,,,,,,,,,,,,,,,,,PUBLIE,5,dès que possible,https://data.gouv.nc/explore/dataset/avis-de-vacances-de-poste-avp-drhfpnc/files/f1655356cd27dc63f4c17c0176828308/download/
66002,0,DSB - Contrôleur de la section Conformité et KYC - Centre de Production Bancaire,,,26-1378,2026-09-18,Office des postes et télécommunications,contrôleur,,,,,,susceptible d'être vacant,Office des postes et télécommunications,OPT,,,2026-09-16 21:23:12+11:00,2026-10-09,,Inspecteur,,,,,,,,,,,,,,,,,,,,PUBLIE,1,,https://data.gouv.nc/explore/dataset/avis-de-vacances-de-poste-avp-drhfpnc/files/cef2eef72cbf285af13a93a678612ab4/download/
66034,0,Auditeur - service de l'audit interne,,,26-1419,2026-09-18,Office des postes et télécommunications,cadre d'exploitation,,,,,,immédiatement,Office des postes et télécommunications,OPT,,,2026-09-16 23:40:25+11:00,2026-10-09,,Inspecteur,,,,,,,,,,,,,,,,,,,,PUBLIE,0,,https://data.gouv.nc/explore/dataset/avis-de-vacances-de-poste-avp-drhfpnc/files/c6457a3c12bd713bd41c22276b646c06/download/
66036,0,DPS - Chef de cellule polyvalent - Agence de Lifou et ses annexes,,,26-1397,2026-09-18,Office des postes et télécommunications,contrôleur,,,,,,susceptible d'être vacant,Office des postes et télécommunications,OPT,,,2026-09-16 23:42:31+11:00,2026-10-09,,Inspecteur,,,,,,,,,,,,,,,,,,,,PUBLIE,1,,https://data.gouv.nc/explore/dataset/avis-de-vacances-de-poste-avp-drhfpnc/files/6a500241f53c302405fa1e7c4f3fcff9/download/
